cp437_wingdings	Unicode	Comment
0xED	0x03C6	GREEK SMALL LETTER PHI
0xEE	0x03B5	GREEK SMALL LETTER EPSILON
0xEF	0x2229	INTERSECTION
0xF0	0x2261	IDENTICAL TO
0xF1	0x00B1	PLUS-MINUS SIGN
0xF2	0x2265	GREATER-THAN OR EQUAL TO
0xF3	0x2264	LESS-THAN OR EQUAL TO
0xF4	0x2320	TOP HALF INTEGRAL
0xF5	0x2321	BOTTOM HALF INTEGRAL
0xF6	0x00F7	DIVISION SIGN
0xF7	0x2248	ALMOST EQUAL TO
0xF8	0x00B0	DEGREE SIGN
0xF9	0x2219	BULLET OPERATOR
0xFA	0x00B7	MIDDLE DOT
0xFB	0x221A	SQUARE ROOT
0xFC	0x207F	SUPERSCRIPT LATIN SMALL LETTER N
0xFD	0x00B2	SUPERSCRIPT TWO
0xFE	0x25A0	BLACK SQUARE
0xFF	0x25A1	WHITE SQUARE
